"","CTBAND","GVTREGN","no_hh","hh_region","regions","frs_banddis"
"1",1,112000001,410,795,"NE",0.515723270440252
"2",1,112000002,537,1712,"NW",0.313668224299065
"3",1,112000003,514,1262,"YH",0.407290015847861
"4",1,112000004,287,1066,"EM",0.269230769230769
"5",1,112000005,267,1189,"WM",0.224558452481077
"6",1,112000006,135,1445,"EE",0.0934256055363322
"7",1,112000007,26,1197,"L",0.0217209690893901
"8",1,112000008,118,1862,"SE",0.0633727175080559
"9",1,112000009,165,1382,"SW",0.119392185238784
"10",2,112000001,130,795,"NE",0.163522012578616
"11",2,112000002,376,1712,"NW",0.219626168224299
"12",2,112000003,231,1262,"YH",0.183042789223455
"13",2,112000004,242,1066,"EM",0.227016885553471
"14",2,112000005,303,1189,"WM",0.254835996635828
"15",2,112000006,259,1445,"EE",0.17923875432526
"16",2,112000007,132,1197,"L",0.110275689223058
"17",2,112000008,258,1862,"SE",0.138560687432868
"18",2,112000009,280,1382,"SW",0.20260492040521
"19",3,112000001,116,795,"NE",0.145911949685535
"20",3,112000002,341,1712,"NW",0.199182242990654
"21",3,112000003,228,1262,"YH",0.180665610142631
"22",3,112000004,235,1066,"EM",0.220450281425891
"23",3,112000005,260,1189,"WM",0.218671152228764
"24",3,112000006,401,1445,"EE",0.277508650519031
"25",3,112000007,322,1197,"L",0.269005847953216
"26",3,112000008,439,1862,"SE",0.235767991407089
"27",3,112000009,344,1382,"SW",0.248914616497829
"28",4,112000001,74,795,"NE",0.0930817610062893
"29",4,112000002,240,1712,"NW",0.14018691588785
"30",4,112000003,114,1262,"YH",0.0903328050713154
"31",4,112000004,141,1066,"EM",0.132270168855535
"32",4,112000005,164,1189,"WM",0.137931034482759
"33",4,112000006,299,1445,"EE",0.206920415224914
"34",4,112000007,322,1197,"L",0.269005847953216
"35",4,112000008,420,1862,"SE",0.225563909774436
"36",4,112000009,262,1382,"SW",0.189580318379161
"37",5,112000001,38,795,"NE",0.0477987421383648
"38",5,112000002,121,1712,"NW",0.0706775700934579
"39",5,112000003,81,1262,"YH",0.0641838351822504
"40",5,112000004,100,1066,"EM",0.0938086303939962
"41",5,112000005,92,1189,"WM",0.0773759461732548
"42",5,112000006,188,1445,"EE",0.130103806228374
"43",5,112000007,195,1197,"L",0.162907268170426
"44",5,112000008,291,1862,"SE",0.156283566058002
"45",5,112000009,184,1382,"SW",0.133140376266281
"46",6,112000001,18,795,"NE",0.0226415094339623
"47",6,112000002,68,1712,"NW",0.0397196261682243
"48",6,112000003,59,1262,"YH",0.0467511885895404
"49",6,112000004,30,1066,"EM",0.0281425891181989
"50",6,112000005,62,1189,"WM",0.0521446593776283
"51",6,112000006,96,1445,"EE",0.0664359861591696
"52",6,112000007,111,1197,"L",0.0927318295739348
"53",6,112000008,189,1862,"SE",0.101503759398496
"54",6,112000009,93,1382,"SW",0.0672937771345875
"55",7,112000001,8,795,"NE",0.010062893081761
"56",7,112000002,27,1712,"NW",0.0157710280373832
"57",7,112000003,32,1262,"YH",0.0253565768621236
"58",7,112000004,29,1066,"EM",0.0272045028142589
"59",7,112000005,37,1189,"WM",0.0311185870479394
"60",7,112000006,57,1445,"EE",0.0394463667820069
"61",7,112000007,72,1197,"L",0.0601503759398496
"62",7,112000008,133,1862,"SE",0.0714285714285714
"63",7,112000009,53,1382,"SW",0.0383502170767004
"64",8,112000001,1,795,"NE",0.00125786163522013
"65",8,112000002,2,1712,"NW",0.00116822429906542
"66",8,112000003,3,1262,"YH",0.00237717908082409
"67",8,112000004,2,1066,"EM",0.00187617260787992
"68",8,112000005,4,1189,"WM",0.00336417157275021
"69",8,112000006,10,1445,"EE",0.0069204152249135
"70",8,112000007,17,1197,"L",0.0142021720969089
"71",8,112000008,14,1862,"SE",0.0075187969924812
"72",8,112000009,1,1382,"SW",0.000723589001447178
