"","region","ct_band","regions","ctb_banddis","frs_banddis","dist_diff"
"1","EM","a","EM",36.3340742702429,26.9230769230769,9.41099734716601
"2","NW","a","NW",40.3622042055858,31.3668224299065,8.99538177567922
"3","WM","a","WM",30.0499781686325,22.4558452481077,7.59413292052486
"4","SW","a","SW",17.5096723652696,11.9392185238784,5.57045384139117
"5","E","a","EE",14.1763365787246,9.34256055363322,4.83377602509135
"6","EM","c","EM",18.0146807400312,22.0450281425891,-4.03034740255792
"7","SW","b","SW",23.9833865346473,20.260492040521,3.72289449412635
"8","NW","d","NW",10.4114515524592,14.018691588785,-3.60724003632583
"9","E","b","EE",21.0012756561334,17.9238754325259,3.0774002236075
"10","E","d","EE",17.6375549161385,20.6920415224914,-3.05448660635287
"11","SW","d","SW",15.9357671093122,18.9580318379161,-3.02226472860389
"12","SE","b","SE",16.5285408872654,13.8560687432868,2.6724721439786
"13","SW","e","SW",10.7348429135359,13.3140376266281,-2.5791947130922
"14","EM","e","EM",6.82521767985926,9.38086303939962,-2.55564535954036
"15","SE","a","SE",8.86199017320083,6.33727175080559,2.52471842239524
"16","WM","d","WM",11.3780678485642,13.7931034482759,-2.41503559971168
"17","SE","e","SE",13.230461557545,15.6283566058002,-2.39789504825524
"18","SE","d","SE",20.1840140829706,22.5563909774436,-2.37237689447302
"19","SE","c","SE",25.8048225986473,23.5767991407089,2.22802345793843
"20","EM","d","EM",11.0022934927136,13.2270168855535,-2.22472339283991
"21","NW","c","NW",17.6972761881342,19.9182242990654,-2.22094811093126
"22","E","e","EE",10.8748255268517,13.0103806228374,-2.13555509598567
"23","SE","f","SE",8.05799493191523,10.1503759398496,-2.09238100793439
"24","L","b","L",13.1020376311178,11.0275689223058,2.07446870881203
"25","WM","c","WM",19.8012243355742,21.8671152228764,-2.06589088730214
"26","E","c","EE",25.8705423540718,27.7508650519031,-1.88032269783131
"27","YH","b","YH",20.1484890121968,18.3042789223455,1.84421008985129
"28","SW","c","SW",23.0699556674602,24.8914616497829,-1.82150598232267
"29","YH","a","YH",42.504290330909,40.7290015847861,1.77528874612295
"30","YH","f","YH",2.94372252849363,4.67511885895404,-1.73139633046041
"31","L","a","L",3.88268982384203,2.17209690893901,1.71059291490302
"32","NW","b","NW",20.303661576421,21.9626168224299,-1.65895524600886
"33","L","f","L",7.70212671078889,9.27318295739348,-1.5710562466046
"34","L","d","L",25.4609395197873,26.9005847953216,-1.43964527553432
"35","SW","f","SW",5.43756333827008,6.72937771345875,-1.29181437518867
"36","YH","c","YH",16.7955964059536,18.0665610142631,-1.27096460830945
"37","WM","f","WM",3.96971221655479,5.21446593776283,-1.24475372120804
"38","L","e","L",15.1899685035942,16.2907268170426,-1.10075831344836
"39","NE","a","NE",52.5966452622274,51.5723270440252,1.02431821820223
"40","NW","f","NW",2.98234425842767,3.97196261682243,-0.989618358394756
"41","EM","g","EM",1.75539168146475,2.72045028142589,-0.96505859996114
"42","NW","e","NW",6.13897505981632,7.06775700934579,-0.928781949529477
"43","YH","g","YH",1.64163607283052,2.53565768621236,-0.894021613381846
"44","SW","g","SW",3.0189715470232,3.83502170767004,-0.816050160646843
"45","SE","g","SE",6.37173031434922,7.14285714285714,-0.771126828507922
"46","WM","g","WM",2.37124617467646,3.11185870479394,-0.74061253011748
"47","NE","d","NE",8.61308538565448,9.30817610062893,-0.695090714974452
"48","E","f","EE",5.97266635013615,6.64359861591696,-0.670932265780809
"49","YH","d","YH",9.6785628930139,9.03328050713154,0.645282385882357
"50","WM","b","WM",24.9378415139406,25.4835996635828,-0.545758149642289
"51","WM","e","WM",7.26139514233703,7.73759461732548,-0.47619947498845
"52","EM","f","EM",3.28648280477131,2.81425891181989,0.472223892951422
"53","NE","c","NE",15.0523965848577,14.5911949685535,0.461201616304246
"54","NE","b","NE",15.9345707060153,16.3522012578616,-0.417630551846337
"55","L","h","L",1.76978160616274,1.42021720969089,0.349564396471848
"56","NW","g","NW",1.89314896513504,1.57710280373832,0.316046161396726
"57","YH","e","YH",6.14102819268961,6.41838351822504,-0.277355325535427
"58","NE","f","NE",1.99500519273852,2.26415094339623,-0.269145750657702
"59","SW","h","SW",0.309840524481481,0.0723589001447178,0.237481624336763
"60","SE","h","SE",0.960445454106426,0.75187969924812,0.208565754858306
"61","NE","e","NE",4.58135960640856,4.77987421383648,-0.198514607427922
"62","E","h","EE",0.512121593483285,0.69204152249135,-0.179919929008065
"63","L","g","L",5.86375694309147,6.01503759398496,-0.151280650893495
"64","L","c","L",27.0286992616155,26.9005847953216,0.128114466293894
"65","WM","h","WM",0.230534599720234,0.336417157275021,-0.105882557554787
"66","NE","g","NE",1.10699564787792,1.0062893081761,0.100706339701816
"67","NW","h","NW",0.21093819402078,0.116822429906542,0.0941157641142382
"68","YH","h","YH",0.146674563912942,0.237717908082409,-0.0910433441694672
"69","EM","b","EM",22.629847166272,22.7016885553471,-0.0718413890750647
"70","EM","h","EM",0.152012164644963,0.187617260787992,-0.0356050961430295
"71","E","g","EE",3.95467702446056,3.94463667820069,0.0100403462598715
"72","NE","h","NE",0.119941614220139,0.125786163522013,-0.00584454930187357
